Year,Units,Time series,Sex,Federal state,GeoCode,Value
2019,Percentage,,Female,Lower Saxony,code03,48.978
2020,Percentage,,Female,Lower Saxony,code03,52.709
2021,Percentage,,Female,Lower Saxony,code03,51.993
2022,Percentage,,Female,Lower Saxony,code03,52.357
2023,Percentage,,Female,Lower Saxony,code03,57.502
2005,Percentage,,Female,Lower Saxony,code03,29.536
2006,Percentage,,Female,Lower Saxony,code03,29.946
2007,Percentage,,Female,Lower Saxony,code03,30.943
2008,Percentage,,Female,Lower Saxony,code03,33.098
2009,Percentage,,Female,Lower Saxony,code03,36.193
2010,Percentage,,Male,Lower Saxony,code03,34.885
2011,Percentage,,Male,Lower Saxony,code03,35.387
2012,Percentage,,Male,Lower Saxony,code03,35.7
2013,Percentage,,Male,Lower Saxony,code03,37.024
2014,Percentage,,Male,Lower Saxony,code03,37.941
2015,Percentage,,Male,Lower Saxony,code03,40.11
2016,Percentage,,Male,Lower Saxony,code03,38.445
2017,Percentage,,Male,Lower Saxony,code03,39.425
2018,Percentage,,Male,Lower Saxony,code03,39.666
2019,Percentage,,Male,Lower Saxony,code03,40.618
2020,Percentage,,Male,Lower Saxony,code03,43.017
2021,Percentage,,Male,Lower Saxony,code03,43.971
2022,Percentage,,Male,Lower Saxony,code03,46.025
2023,Percentage,,Male,Lower Saxony,code03,49.855
2005,Percentage,,Male,Lower Saxony,code03,34.551
2006,Percentage,,Male,Lower Saxony,code03,33.505
2007,Percentage,,Male,Lower Saxony,code03,35.072
2008,Percentage,,Male,Lower Saxony,code03,34.922
2009,Percentage,,Male,Lower Saxony,code03,34.938
2010,Percentage,,,North Rhine-Westphalia,code05,41.293
2011,Percentage,,,North Rhine-Westphalia,code05,42.014
2012,Percentage,,,North Rhine-Westphalia,code05,44.352
2013,Percentage,,,North Rhine-Westphalia,code05,45.022
2014,Percentage,,,North Rhine-Westphalia,code05,47.837
2015,Percentage,,,North Rhine-Westphalia,code05,48.708
2016,Percentage,,,North Rhine-Westphalia,code05,50.251
2017,Percentage,,,North Rhine-Westphalia,code05,50.965
2018,Percentage,,,North Rhine-Westphalia,code05,50.432
2019,Percentage,,,North Rhine-Westphalia,code05,50.876
2020,Percentage,,,North Rhine-Westphalia,code05,54.558
2021,Percentage,,,North Rhine-Westphalia,code05,54.199
2022,Percentage,,,North Rhine-Westphalia,code05,53.555
2023,Percentage,,,North Rhine-Westphalia,code05,57.182
2005,Percentage,,,North Rhine-Westphalia,code05,36.964
2006,Percentage,,,North Rhine-Westphalia,code05,37.839
2007,Percentage,,,North Rhine-Westphalia,code05,38.718
2008,Percentage,,,North Rhine-Westphalia,code05,40.871
2009,Percentage,,,North Rhine-Westphalia,code05,41.718
2010,Percentage,,Female,North Rhine-Westphalia,code05,42.117
2011,Percentage,,Female,North Rhine-Westphalia,code05,43.755
2012,Percentage,,Female,North Rhine-Westphalia,code05,46.777
2013,Percentage,,Female,North Rhine-Westphalia,code05,47.394
2014,Percentage,,Female,North Rhine-Westphalia,code05,50.762
2015,Percentage,,Female,North Rhine-Westphalia,code05,52.563
2016,Percentage,,Female,North Rhine-Westphalia,code05,54.162
2017,Percentage,,Female,North Rhine-Westphalia,code05,54.479
2018,Percentage,,Female,North Rhine-Westphalia,code05,55.026
2019,Percentage,,Female,North Rhine-Westphalia,code05,55.289
2020,Percentage,,Female,North Rhine-Westphalia,code05,60.36
2021,Percentage,,Female,North Rhine-Westphalia,code05,57.824
2022,Percentage,,Female,North Rhine-Westphalia,code05,58.021
2023,Percentage,,Female,North Rhine-Westphalia,code05,61.781
2005,Percentage,,Female,North Rhine-Westphalia,code05,36.443
2006,Percentage,,Female,North Rhine-Westphalia,code05,38.012
2007,Percentage,,Female,North Rhine-Westphalia,code05,38.428
2008,Percentage,,Female,North Rhine-Westphalia,code05,41.468
2009,Percentage,,Female,North Rhine-Westphalia,code05,42.575
2010,Percentage,,Male,North Rhine-Westphalia,code05,40.478
2011,Percentage,,Male,North Rhine-Westphalia,code05,40.299
2012,Percentage,,Male,North Rhine-Westphalia,code05,41.997
2013,Percentage,,Male,North Rhine-Westphalia,code05,42.638
2014,Percentage,,Male,North Rhine-Westphalia,code05,44.795
2015,Percentage,,Male,North Rhine-Westphalia,code05,44.757
2016,Percentage,,Male,North Rhine-Westphalia,code05,46.302
2017,Percentage,,Male,North Rhine-Westphalia,code05,47.513
2018,Percentage,,Male,North Rhine-Westphalia,code05,45.945
2019,Percentage,,Male,North Rhine-Westphalia,code05,46.65
2020,Percentage,,Male,North Rhine-Westphalia,code05,48.942
2021,Percentage,,Male,North Rhine-Westphalia,code05,50.732
2022,Percentage,,Male,North Rhine-Westphalia,code05,49.274
2023,Percentage,,Male,North Rhine-Westphalia,code05,52.801
2005,Percentage,,Male,North Rhine-Westphalia,code05,37.481
2006,Percentage,,Male,North Rhine-Westphalia,code05,37.668
2007,Percentage,,Male,North Rhine-Westphalia,code05,39.003
2008,Percentage,,Male,North Rhine-Westphalia,code05,40.274
2009,Percentage,,Male,North Rhine-Westphalia,code05,40.845
2010,Percentage,,,Rhineland Palatinate,code07,38.488
2011,Percentage,,,Rhineland Palatinate,code07,39.962
2012,Percentage,,,Rhineland Palatinate,code07,42.26
2013,Percentage,,,Rhineland Palatinate,code07,41.899
2014,Percentage,,,Rhineland Palatinate,code07,43.672
2015,Percentage,,,Rhineland Palatinate,code07,42.583
2016,Percentage,,,Rhineland Palatinate,code07,44.232
2017,Percentage,,,Rhineland Palatinate,code07,44.041
2018,Percentage,,,Rhineland Palatinate,code07,44.52
2019,Percentage,,,Rhineland Palatinate,code07,48.132
2020,Percentage,,,Rhineland Palatinate,code07,49.737
2021,Percentage,,,Rhineland Palatinate,code07,48.91
2022,Percentage,,,Rhineland Palatinate,code07,49.839
2023,Percentage,,,Rhineland Palatinate,code07,53.04
2005,Percentage,,,Rhineland Palatinate,code07,30.417
2006,Percentage,,,Rhineland Palatinate,code07,31.903
2007,Percentage,,,Rhineland Palatinate,code07,32.928
2008,Percentage,,,Rhineland Palatinate,code07,35.283
2009,Percentage,,,Rhineland Palatinate,code07,36.669
2010,Percentage,,Female,Rhineland Palatinate,code07,37.007
2011,Percentage,,Female,Rhineland Palatinate,code07,40.919
2012,Percentage,,Female,Rhineland Palatinate,code07,42.304
2013,Percentage,,Female,Rhineland Palatinate,code07,42.15
2014,Percentage,,Female,Rhineland Palatinate,code07,45.628
2015,Percentage,,Female,Rhineland Palatinate,code07,44.601
2016,Percentage,,Female,Rhineland Palatinate,code07,46.604
2017,Percentage,,Female,Rhineland Palatinate,code07,47.892
2018,Percentage,,Female,Rhineland Palatinate,code07,46.58
2019,Percentage,,Female,Rhineland Palatinate,code07,51.172
2020,Percentage,,Female,Rhineland Palatinate,code07,53.188
2021,Percentage,,Female,Rhineland Palatinate,code07,51.96
2022,Percentage,,Female,Rhineland Palatinate,code07,53.002
2023,Percentage,,Female,Rhineland Palatinate,code07,55.37
2005,Percentage,,Female,Rhineland Palatinate,code07,26.574
2006,Percentage,,Female,Rhineland Palatinate,code07,29.304
2007,Percentage,,Female,Rhineland Palatinate,code07,31.826
2008,Percentage,,Female,Rhineland Palatinate,code07,35.112
2009,Percentage,,Female,Rhineland Palatinate,code07,36.994
2010,Percentage,,Male,Rhineland Palatinate,code07,40.121
2011,Percentage,,Male,Rhineland Palatinate,code07,38.951
2012,Percentage,,Male,Rhineland Palatinate,code07,42.203
2013,Percentage,,Male,Rhineland Palatinate,code07,41.659
2014,Percentage,,Male,Rhineland Palatinate,code07,41.632
2015,Percentage,,Male,Rhineland Palatinate,code07,40.644
2016,Percentage,,Male,Rhineland Palatinate,code07,41.923
2017,Percentage,,Male,Rhineland Palatinate,code07,40.268
2018,Percentage,,Male,Rhineland Palatinate,code07,42.472
2019,Percentage,,Male,Rhineland Palatinate,code07,45.228
2020,Percentage,,Male,Rhineland Palatinate,code07,46.338
2021,Percentage,,Male,Rhineland Palatinate,code07,46.084
2022,Percentage,,Male,Rhineland Palatinate,code07,46.776
2023,Percentage,,Male,Rhineland Palatinate,code07,50.815
2005,Percentage,,Male,Rhineland Palatinate,code07,34.607
2006,Percentage,,Male,Rhineland Palatinate,code07,34.728
2007,Percentage,,Male,Rhineland Palatinate,code07,34.014
2008,Percentage,,Male,Rhineland Palatinate,code07,35.456
2009,Percentage,,Male,Rhineland Palatinate,code07,36.32
2010,Percentage,,,Saarland,code10,32.859
2011,Percentage,,,Saarland,code10,34.783
2012,Percentage,,,Saarland,code10,38.257
2013,Percentage,,,Saarland,code10,35.694
2014,Percentage,,,Saarland,code10,35.753
2015,Percentage,,,Saarland,code10,40.201
2016,Percentage,,,Saarland,code10,41.396
2017,Percentage,,,Saarland,code10,39.696
2018,Percentage,,,Saarland,code10,44.468
2019,Percentage,,,Saarland,code10,47.733
2020,Percentage,,,Saarland,code10,55.251
2021,Percentage,,,Saarland,code10,51.872
2022,Percentage,,,Saarland,code10,50.554
2023,Percentage,,,Saarland,code10,50.417
2005,Percentage,,,Saarland,code10,32.673
2006,Percentage,,,Saarland,code10,35.007
2007,Percentage,,,Saarland,code10,32.395
2008,Percentage,,,Saarland,code10,36.201
2009,Percentage,,,Saarland,code10,37.232
2010,Percentage,,Female,Saarland,code10,36.76
2011,Percentage,,Female,Saarland,code10,38.665
2012,Percentage,,Female,Saarland,code10,42.193
2013,Percentage,,Female,Saarland,code10,39.873
2014,Percentage,,Female,Saarland,code10,35.754
2015,Percentage,,Female,Saarland,code10,41.255
2016,Percentage,,Female,Saarland,code10,37.913
2017,Percentage,,Female,Saarland,code10,40.066
2018,Percentage,,Female,Saarland,code10,49.159
2019,Percentage,,Female,Saarland,code10,54.215
2020,Percentage,,Female,Saarland,code10,66.671
2021,Percentage,,Female,Saarland,code10,55.619
2022,Percentage,,Female,Saarland,code10,55.517
2023,Percentage,,Female,Saarland,code10,55.242
2005,Percentage,,Female,Saarland,code10,32.814
2006,Percentage,,Female,Saarland,code10,34.97
2007,Percentage,,Female,Saarland,code10,33.02
2008,Percentage,,Female,Saarland,code10,37.247
2009,Percentage,,Female,Saarland,code10,40.175
2010,Percentage,,Male,Saarland,code10,28.772
2011,Percentage,,Male,Saarland,code10,30.839
2012,Percentage,,Male,Saarland,code10,34.733
2013,Percentage,,Male,Saarland,code10,32.34
2014,Percentage,,Male,Saarland,code10,35.774
2015,Percentage,,Male,Saarland,code10,39.245
2016,Percentage,,Male,Saarland,code10,44.365
2017,Percentage,,Male,Saarland,code10,39.374
2018,Percentage,,Male,Saarland,code10,40.597
2019,Percentage,,Male,Saarland,code10,41.476
2020,Percentage,,Male,Saarland,code10,43.5
2021,Percentage,,Male,Saarland,code10,48.514
2022,Percentage,,Male,Saarland,code10,45.484
2023,Percentage,,Male,Saarland,code10,45.91
2005,Percentage,,Male,Saarland,code10,32.494
2006,Percentage,,Male,Saarland,code10,35.005
2007,Percentage,,Male,Saarland,code10,31.656
2008,Percentage,,Male,Saarland,code10,35.063
2009,Percentage,,Male,Saarland,code10,34.162
2010,Percentage,,,Saxony,code14,46.36
2011,Percentage,,,Saxony,code14,44.031
2012,Percentage,,,Saxony,code14,42.673
2013,Percentage,,,Saxony,code14,45.802
2014,Percentage,,,Saxony,code14,46.177
2015,Percentage,,,Saxony,code14,48.273
2016,Percentage,,,Saxony,code14,46.221
2017,Percentage,,,Saxony,code14,47.941
2018,Percentage,,,Saxony,code14,49.148
2019,Percentage,,,Saxony,code14,50.696
2020,Percentage,,,Saxony,code14,50.961
2021,Percentage,,,Saxony,code14,52.873
2022,Percentage,,,Saxony,code14,54.831
2023,Percentage,,,Saxony,code14,55.116
2005,Percentage,,,Saxony,code14,37.891
2006,Percentage,,,Saxony,code14,40.594
2007,Percentage,,,Saxony,code14,44.325
2008,Percentage,,,Saxony,code14,44.41
2009,Percentage,,,Saxony,code14,46.019
2010,Percentage,,Female,Saxony,code14,54.98
2011,Percentage,,Female,Saxony,code14,53.073
2012,Percentage,,Female,Saxony,code14,50.538
2013,Percentage,,Female,Saxony,code14,55.404
2014,Percentage,,Female,Saxony,code14,54.31
2015,Percentage,,Female,Saxony,code14,56.29
2016,Percentage,,Female,Saxony,code14,54.852
2017,Percentage,,Female,Saxony,code14,56.794
2018,Percentage,,Female,Saxony,code14,57.312
2019,Percentage,,Female,Saxony,code14,59.714
2020,Percentage,,Female,Saxony,code14,58.286
2021,Percentage,,Female,Saxony,code14,59.487
2022,Percentage,,Female,Saxony,code14,62.528
2023,Percentage,,Female,Saxony,code14,62.817
2005,Percentage,,Female,Saxony,code14,42.11
2006,Percentage,,Female,Saxony,code14,48.179
2007,Percentage,,Female,Saxony,code14,52.442
2008,Percentage,,Female,Saxony,code14,52.404
2009,Percentage,,Female,Saxony,code14,55.446
2010,Percentage,,Male,Saxony,code14,38.611
2011,Percentage,,Male,Saxony,code14,36.216
2012,Percentage,,Male,Saxony,code14,35.996
2013,Percentage,,Male,Saxony,code14,37.767
2014,Percentage,,Male,Saxony,code14,39.06
2015,Percentage,,Male,Saxony,code14,41.035
2016,Percentage,,Male,Saxony,code14,38.415
2017,Percentage,,Male,Saxony,code14,39.792
2018,Percentage,,Male,Saxony,code14,41.556
2019,Percentage,,Male,Saxony,code14,41.69
2020,Percentage,,Male,Saxony,code14,43.812
2021,Percentage,,Male,Saxony,code14,46.659
2022,Percentage,,Male,Saxony,code14,47.728
2023,Percentage,,Male,Saxony,code14,47.761
2005,Percentage,,Male,Saxony,code14,34.289
2006,Percentage,,Male,Saxony,code14,34.049
2007,Percentage,,Male,Saxony,code14,37.29
2008,Percentage,,Male,Saxony,code14,37.805
2009,Percentage,,Male,Saxony,code14,37.79
2010,Percentage,,,Saxony-Anhalt,code15,32.162
2011,Percentage,,,Saxony-Anhalt,code15,31.441
2012,Percentage,,,Saxony-Anhalt,code15,30.9
2013,Percentage,,,Saxony-Anhalt,code15,30.624
2014,Percentage,,,Saxony-Anhalt,code15,32.348
2015,Percentage,,,Saxony-Anhalt,code15,34.211
2016,Percentage,,,Saxony-Anhalt,code15,33.406
2017,Percentage,,,Saxony-Anhalt,code15,35.575
2018,Percentage,,,Saxony-Anhalt,code15,38.136
2019,Percentage,,,Saxony-Anhalt,code15,36.378
2020,Percentage,,,Saxony-Anhalt,code15,39.675
2021,Percentage,,,Saxony-Anhalt,code15,41.607
2022,Percentage,,,Saxony-Anhalt,code15,43.367
2023,Percentage,,,Saxony-Anhalt,code15,43.501
2005,Percentage,,,Saxony-Anhalt,code15,27.938
2006,Percentage,,,Saxony-Anhalt,code15,28.391
2007,Percentage,,,Saxony-Anhalt,code15,27.008
2008,Percentage,,,Saxony-Anhalt,code15,30.33
2009,Percentage,,,Saxony-Anhalt,code15,32.299
2010,Percentage,,Female,Saxony-Anhalt,code15,37.129
2011,Percentage,,Female,Saxony-Anhalt,code15,37.218
2012,Percentage,,Female,Saxony-Anhalt,code15,36.312
2013,Percentage,,Female,Saxony-Anhalt,code15,36.466
2014,Percentage,,Female,Saxony-Anhalt,code15,38.901
2015,Percentage,,Female,Saxony-Anhalt,code15,39.839
2016,Percentage,,Female,Saxony-Anhalt,code15,41.477
2017,Percentage,,Female,Saxony-Anhalt,code15,41.127
2018,Percentage,,Female,Saxony-Anhalt,code15,43.569
2019,Percentage,,Female,Saxony-Anhalt,code15,41.099
2020,Percentage,,Female,Saxony-Anhalt,code15,49.659
2021,Percentage,,Female,Saxony-Anhalt,code15,50.665
2022,Percentage,,Female,Saxony-Anhalt,code15,51.305
2023,Percentage,,Female,Saxony-Anhalt,code15,50.75
2005,Percentage,,Female,Saxony-Anhalt,code15,31.213
2006,Percentage,,Female,Saxony-Anhalt,code15,32.102
2007,Percentage,,Female,Saxony-Anhalt,code15,34.167
2008,Percentage,,Female,Saxony-Anhalt,code15,36.559
2009,Percentage,,Female,Saxony-Anhalt,code15,36.875
2010,Percentage,,Male,Saxony-Anhalt,code15,27.529
2011,Percentage,,Male,Saxony-Anhalt,code15,26.228
2012,Percentage,,Male,Saxony-Anhalt,code15,25.92
2013,Percentage,,Male,Saxony-Anhalt,code15,25.562
2014,Percentage,,Male,Saxony-Anhalt,code15,26.457
2015,Percentage,,Male,Saxony-Anhalt,code15,29.624
2016,Percentage,,Male,Saxony-Anhalt,code15,26.434
2017,Percentage,,Male,Saxony-Anhalt,code15,30.478
2018,Percentage,,Male,Saxony-Anhalt,code15,32.629
2019,Percentage,,Male,Saxony-Anhalt,code15,32.142
2020,Percentage,,Male,Saxony-Anhalt,code15,30.554
2021,Percentage,,Male,Saxony-Anhalt,code15,33.261
2022,Percentage,,Male,Saxony-Anhalt,code15,36.279
2023,Percentage,,Male,Saxony-Anhalt,code15,36.785
2005,Percentage,,Male,Saxony-Anhalt,code15,25.223
2006,Percentage,,Male,Saxony-Anhalt,code15,24.949
2007,Percentage,,Male,Saxony-Anhalt,code15,20.758
2008,Percentage,,Male,Saxony-Anhalt,code15,24.701
2009,Percentage,,Male,Saxony-Anhalt,code15,27.922
2010,Percentage,,,Schleswig-Holstein,code01,35.779
2011,Percentage,,,Schleswig-Holstein,code01,40.395
2012,Percentage,,,Schleswig-Holstein,code01,37.279
2013,Percentage,,,Schleswig-Holstein,code01,38.185
2014,Percentage,,,Schleswig-Holstein,code01,38.887
2015,Percentage,,,Schleswig-Holstein,code01,39.661
2016,Percentage,,,Schleswig-Holstein,code01,40.057
2017,Percentage,,,Schleswig-Holstein,code01,42.03
2018,Percentage,,,Schleswig-Holstein,code01,42.889
2019,Percentage,,,Schleswig-Holstein,code01,43.159
2020,Percentage,,,Schleswig-Holstein,code01,43.492
2021,Percentage,,,Schleswig-Holstein,code01,45.893
2022,Percentage,,,Schleswig-Holstein,code01,45.508
2023,Percentage,,,Schleswig-Holstein,code01,51.585
2005,Percentage,,,Schleswig-Holstein,code01,32.522
2006,Percentage,,,Schleswig-Holstein,code01,30.614
2007,Percentage,,,Schleswig-Holstein,code01,31.821
2008,Percentage,,,Schleswig-Holstein,code01,32.074
2009,Percentage,,,Schleswig-Holstein,code01,34.571
2010,Percentage,,Female,Schleswig-Holstein,code01,36.664
2011,Percentage,,Female,Schleswig-Holstein,code01,41.709
2012,Percentage,,Female,Schleswig-Holstein,code01,39.199
2013,Percentage,,Female,Schleswig-Holstein,code01,40.66
2014,Percentage,,Female,Schleswig-Holstein,code01,40.683
2015,Percentage,,Female,Schleswig-Holstein,code01,43.863
2016,Percentage,,Female,Schleswig-Holstein,code01,42.871
2017,Percentage,,Female,Schleswig-Holstein,code01,46.648
2018,Percentage,,Female,Schleswig-Holstein,code01,48.486
2019,Percentage,,Female,Schleswig-Holstein,code01,45.606
2020,Percentage,,Female,Schleswig-Holstein,code01,47.986
2021,Percentage,,Female,Schleswig-Holstein,code01,50.451
2022,Percentage,,Female,Schleswig-Holstein,code01,51.465
2023,Percentage,,Female,Schleswig-Holstein,code01,57.185
2005,Percentage,,Female,Schleswig-Holstein,code01,32.061
2006,Percentage,,Female,Schleswig-Holstein,code01,30.892
2007,Percentage,,Female,Schleswig-Holstein,code01,31.164
2008,Percentage,,Female,Schleswig-Holstein,code01,32.735
2009,Percentage,,Female,Schleswig-Holstein,code01,35.757
2010,Percentage,,Male,Schleswig-Holstein,code01,34.881
2011,Percentage,,Male,Schleswig-Holstein,code01,39.019
2012,Percentage,,Male,Schleswig-Holstein,code01,35.318
2013,Percentage,,Male,Schleswig-Holstein,code01,35.435
2014,Percentage,,Male,Schleswig-Holstein,code01,36.952
2015,Percentage,,Male,Schleswig-Holstein,code01,35.491
2016,Percentage,,Male,Schleswig-Holstein,code01,37.372
2017,Percentage,,Male,Schleswig-Holstein,code01,37.522
2018,Percentage,,Male,Schleswig-Holstein,code01,37.395
2019,Percentage,,Male,Schleswig-Holstein,code01,40.827
2020,Percentage,,Male,Schleswig-Holstein,code01,39.053
2021,Percentage,,Male,Schleswig-Holstein,code01,41.606
2022,Percentage,,Male,Schleswig-Holstein,code01,39.994
2023,Percentage,,Male,Schleswig-Holstein,code01,46.303
2005,Percentage,,Male,Schleswig-Holstein,code01,32.983
2006,Percentage,,Male,Schleswig-Holstein,code01,30.334
2007,Percentage,,Male,Schleswig-Holstein,code01,32.499
2008,Percentage,,Male,Schleswig-Holstein,code01,31.347
2009,Percentage,,Male,Schleswig-Holstein,code01,33.408
2010,Percentage,,,Thuringia,code16,36.366
2011,Percentage,,,Thuringia,code16,37.239
2012,Percentage,,,Thuringia,code16,39.128
2013,Percentage,,,Thuringia,code16,39.753
2014,Percentage,,,Thuringia,code16,37.562
2015,Percentage,,,Thuringia,code16,36.89
2016,Percentage,,,Thuringia,code16,40.279
2017,Percentage,,,Thuringia,code16,40.681
2018,Percentage,,,Thuringia,code16,44.536
2019,Percentage,,,Thuringia,code16,44.773
2020,Percentage,,,Thuringia,code16,46.068
2021,Percentage,,,Thuringia,code16,46.869
2022,Percentage,,,Thuringia,code16,48.946
2023,Percentage,,,Thuringia,code16,48.853
2005,Percentage,,,Thuringia,code16,31.24
2006,Percentage,,,Thuringia,code16,32.24
2007,Percentage,,,Thuringia,code16,36.495
2008,Percentage,,,Thuringia,code16,35.718
2009,Percentage,,,Thuringia,code16,35.356
2010,Percentage,,Female,Thuringia,code16,42.954
2011,Percentage,,Female,Thuringia,code16,45.156
2012,Percentage,,Female,Thuringia,code16,46.336
2013,Percentage,,Female,Thuringia,code16,47.056
2014,Percentage,,Female,Thuringia,code16,44.548
2015,Percentage,,Female,Thuringia,code16,45.386
2016,Percentage,,Female,Thuringia,code16,47.965
2017,Percentage,,Female,Thuringia,code16,49.471
2018,Percentage,,Female,Thuringia,code16,51.644
2019,Percentage,,Female,Thuringia,code16,51.22
2020,Percentage,,Female,Thuringia,code16,48.544
2021,Percentage,,Female,Thuringia,code16,53.832
2022,Percentage,,Female,Thuringia,code16,53.893
2023,Percentage,,Female,Thuringia,code16,52.883
2005,Percentage,,Female,Thuringia,code16,33.837
2006,Percentage,,Female,Thuringia,code16,35.134
2007,Percentage,,Female,Thuringia,code16,40.816
2008,Percentage,,Female,Thuringia,code16,41.872
2009,Percentage,,Female,Thuringia,code16,42.476
2010,Percentage,,Male,Thuringia,code16,30.543
2011,Percentage,,Male,Thuringia,code16,29.904
2012,Percentage,,Male,Thuringia,code16,32.762
2013,Percentage,,Male,Thuringia,code16,32.984
2014,Percentage,,Male,Thuringia,code16,31.294
2015,Percentage,,Male,Thuringia,code16,29.867
2016,Percentage,,Male,Thuringia,code16,33.397
2017,Percentage,,Male,Thuringia,code16,32.923
2018,Percentage,,Male,Thuringia,code16,38.098
2019,Percentage,,Male,Thuringia,code16,38.895
2020,Percentage,,Male,Thuringia,code16,43.843
2021,Percentage,,Male,Thuringia,code16,40.774
2022,Percentage,,Male,Thuringia,code16,44.671
2023,Percentage,,Male,Thuringia,code16,45.236
2005,Percentage,,Male,Thuringia,code16,29.065
2006,Percentage,,Male,Thuringia,code16,29.747
2007,Percentage,,Male,Thuringia,code16,32.62
2008,Percentage,,Male,Thuringia,code16,30.442
2009,Percentage,,Male,Thuringia,code16,29.14
1999,Percentage,With tertiary qualification,,,,24.801
2010,Percentage,With tertiary qualification,,,,29.77
2011,Percentage,With tertiary qualification,,,,30.677
2012,Percentage,With tertiary qualification,,,,31.898
2013,Percentage,With tertiary qualification,,,,33.082
2014,Percentage,With tertiary qualification,,,,31.364
2015,Percentage,With tertiary qualification,,,,32.255
2016,Percentage,With tertiary qualification,,,,33.1
2017,Percentage,With tertiary qualification,,,,33.999
2018,Percentage,With tertiary qualification,,,,34.926
2019,Percentage,With tertiary qualification,,,,35.5
2020,Percentage,With tertiary qualification,,,,36.6
2021,Percentage,With tertiary qualification,,,,37.8
2022,Percentage,With tertiary qualification,,,,39.075
2023,Percentage,With tertiary qualification,,,,41.071
2000,Percentage,With tertiary qualification,,,,25.331
2001,Percentage,With tertiary qualification,,,,25.052
2002,Percentage,With tertiary qualification,,,,25.071
2003,Percentage,With tertiary qualification,,,,25.045
2004,Percentage,With tertiary qualification,,,,26.757
2005,Percentage,With tertiary qualification,,,,26.065
2006,Percentage,With tertiary qualification,,,,25.845
2007,Percentage,With tertiary qualification,,,,26.498
2008,Percentage,With tertiary qualification,,,,27.604
2009,Percentage,With tertiary qualification,,,,29.37
2030,Percentage,With tertiary qualification,,,,
1999,Percentage,With tertiary qualification,Female,,,21.358
2010,Percentage,With tertiary qualification,Female,,,29.658
2011,Percentage,With tertiary qualification,Female,,,31.528
2012,Percentage,With tertiary qualification,Female,,,32.87
2013,Percentage,With tertiary qualification,Female,,,34.0
2014,Percentage,With tertiary qualification,Female,,,30.804
2015,Percentage,With tertiary qualification,Female,,,32.321
2016,Percentage,With tertiary qualification,Female,,,32.9
2017,Percentage,With tertiary qualification,Female,,,34.191
2018,Percentage,With tertiary qualification,Female,,,35.335
2019,Percentage,With tertiary qualification,Female,,,36.0
2020,Percentage,With tertiary qualification,Female,,,37.3
2021,Percentage,With tertiary qualification,Female,,,38.6
2022,Percentage,With tertiary qualification,Female,,,40.098
2023,Percentage,With tertiary qualification,Female,,,41.854
2000,Percentage,With tertiary qualification,Female,,,21.778
2001,Percentage,With tertiary qualification,Female,,,21.688
2002,Percentage,With tertiary qualification,Female,,,22.091
2003,Percentage,With tertiary qualification,Female,,,22.511
2004,Percentage,With tertiary qualification,Female,,,24.258
2005,Percentage,With tertiary qualification,Female,,,24.128
2006,Percentage,With tertiary qualification,Female,,,24.415
2007,Percentage,With tertiary qualification,Female,,,25.663
2008,Percentage,With tertiary qualification,Female,,,26.974
2009,Percentage,With tertiary qualification,Female,,,29.178
1999,Percentage,With tertiary qualification,Male,,,28.072
2010,Percentage,With tertiary qualification,Male,,,29.879
2011,Percentage,With tertiary qualification,Male,,,29.843
2012,Percentage,With tertiary qualification,Male,,,30.946
2013,Percentage,With tertiary qualification,Male,,,32.178
2014,Percentage,With tertiary qualification,Male,,,31.922
2015,Percentage,With tertiary qualification,Male,,,32.19
2016,Percentage,With tertiary qualification,Male,,,33.3
2017,Percentage,With tertiary qualification,Male,,,33.816
2018,Percentage,With tertiary qualification,Male,,,34.535
2019,Percentage,With tertiary qualification,Male,,,35.1
2020,Percentage,With tertiary qualification,Male,,,36.0
2021,Percentage,With tertiary qualification,Male,,,37.0
2022,Percentage,With tertiary qualification,Male,,,38.11
2023,Percentage,With tertiary qualification,Male,,,40.331
2000,Percentage,With tertiary qualification,Male,,,28.762
2001,Percentage,With tertiary qualification,Male,,,28.33
2002,Percentage,With tertiary qualification,Male,,,27.933
2003,Percentage,With tertiary qualification,Male,,,27.431
2004,Percentage,With tertiary qualification,Male,,,29.151
2005,Percentage,With tertiary qualification,Male,,,27.957
2006,Percentage,With tertiary qualification,Male,,,27.247
2007,Percentage,With tertiary qualification,Male,,,27.31
2008,Percentage,With tertiary qualification,Male,,,28.226
2009,Percentage,With tertiary qualification,Male,,,29.56
1999,Percentage,With post-secondary non-tertiary qualification,,,,8.55
2010,Percentage,With post-secondary non-tertiary qualification,,,,11.545
2011,Percentage,With post-secondary non-tertiary qualification,,,,11.548
2012,Percentage,With post-secondary non-tertiary qualification,,,,11.535
2013,Percentage,With post-secondary non-tertiary qualification,,,,11.4
2014,Percentage,With post-secondary non-tertiary qualification,,,,14.306
2015,Percentage,With post-secondary non-tertiary qualification,,,,14.515
2016,Percentage,With post-secondary non-tertiary qualification,,,,14.779
2017,Percentage,With post-secondary non-tertiary qualification,,,,14.836
2018,Percentage,With post-secondary non-tertiary qualification,,,,14.907
2019,Percentage,With post-secondary non-tertiary qualification,,,,14.988
2020,Percentage,With post-secondary non-tertiary qualification,,,,15.7
2021,Percentage,With post-secondary non-tertiary qualification,,,,15.438
2022,Percentage,With post-secondary non-tertiary qualification,,,,14.325
2023,Percentage,With post-secondary non-tertiary qualification,,,,15.256
